Matchday,Date,Time,Location,Home Team,Away Team,Home Goals,Away Goals,Result,Geri Home Goals Predicted,Geri Away Goals Predicted,Geri Result Predicted,Andreas Home Goals Predicted,Andreas Away Goals Predicted,Andreas Result Predicted,Johnny Home Goals Predicted,Johnny Away Goals Predicted,Johnny Result Predicted,Gerd Home Goals Predicted,Gerd Away Goals Predicted,Gerd Result Predicted,Samson Home Goals Predicted,Samson Away Goals Predicted,Samson Result Predicted,Moddy Home Goals Predicted,Moddy Away Goals Predicted,Moddy Result Predicted,Hermann Home Goals Predicted,Hermann Away Goals Predicted,Hermann Result Predicted
17,13/01/2024,14:30,Red Bull Arena,RBL,SGE,0,1,Away Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,2,2,Tie,1,2,Away Win,3,2,Home Win,3,1,Home Win
17,13/01/2024,17:30,Merck-Stadion am Böllenfalltor,D98,BVB,0,3,Away Win,0,2,Away Win,2,4,Away Win,1,3,Away Win,0,2,Away Win,1,3,Away Win,1,3,Away Win,1,2,Away Win
17,14/01/2024,14:30,Vonovia Ruhrstadion,BOC,SVW,1,1,Tie,1,0,Home Win,1,1,Tie,2,1,Home Win,2,0,Home Win,1,1,Tie,1,1,Tie,2,0,Home Win
17,14/01/2024,16:30,BORUSSIA-PARK,BMG,VFB,3,1,Home Win,1,0,Home Win,2,2,Tie,1,2,Away Win,1,1,Tie,2,3,Away Win,2,1,Home Win,2,2,Tie
18,20/01/2024,14:30,Merck-Stadion am Böllenfalltor,D98,SGE,2,2,Tie,0,2,Away Win,0,3,Away Win,1,2,Away Win,0,3,Away Win,1,4,Away Win,1,3,Away Win,0,2,Away Win
18,20/01/2024,14:30,Voith-Arena,HDH,WOB,1,1,Tie,1,1,Tie,0,0,Tie,1,1,Tie,1,1,Tie,3,2,Home Win,1,3,Away Win,1,1,Tie
18,20/01/2024,14:30,Vonovia Ruhrstadion,BOC,VFB,1,0,Home Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,2,1,Home Win,0,2,Away Win,1,2,Away Win,1,3,Away Win
18,20/01/2024,14:30,RheinEnergieSTADION,KOE,BVB,0,4,Away Win,1,2,Away Win,1,3,Away Win,0,2,Away Win,1,3,Away Win,1,3,Away Win,2,2,Tie,0,3,Away Win
18,20/01/2024,14:30,Europa-Park Stadion,SCF,TSG,3,2,Home Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,2,2,Tie,2,2,Tie,2,2,Tie,2,2,Tie
18,20/01/2024,17:30,Red Bull Arena,RBL,B04,2,3,Away Win,1,3,Away Win,2,2,Tie,2,1,Home Win,1,2,Away Win,2,2,Tie,2,3,Away Win,2,2,Tie
18,21/01/2024,14:30,Allianz Arena,FCB,SVW,0,1,Away Win,3,1,Home Win,5,0,Home Win,3,0,Home Win,4,0,Home Win,0,4,Away Win,5,1,Home Win,4,0,Home Win
18,21/01/2024,16:30,BORUSSIA-PARK,BMG,FCA,1,2,Away Win,2,1,Home Win,2,1,Home Win,2,2,Tie,2,1,Home Win,2,1,Home Win,3,1,Home Win,2,1,Home Win
18,07/02/2024,17:30,MEWA ARENA,M05,1. FC Union Berlin,1,1,Tie,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
19,26/01/2024,19:30,Deutsche Bank Park,SGE,M05,1,0,Home Win,2,1,Home Win,1,0,Home Win,2,1,Home Win,3,1,Home Win,2,0,Home Win,2,1,Home Win,3,1,Home Win
19,27/01/2024,14:30,Mercedes-Benz Arena,VFB,RBL,5,2,Home Win,2,1,Home Win,2,2,Tie,0,2,Away Win,2,2,Tie,2,2,Tie,2,3,Away Win,2,2,Tie
19,27/01/2024,14:30,WWK ARENA,FCA,FCB,2,3,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,0,3,Away Win,1,4,Away Win,1,3,Away Win
19,27/01/2024,14:30,wohninvest WESERSTADION,SVW,SCF,3,1,Home Win,1,0,Home Win,1,1,Tie,0,1,Away Win,1,2,Away Win,1,3,Away Win,2,2,Tie,2,1,Home Win
19,27/01/2024,14:30,PreZero Arena,TSG,HDH,1,1,Tie,1,1,Tie,4,2,Home Win,2,1,Home Win,2,1,Home Win,1,2,Away Win,2,1,Home Win,1,1,Tie
19,27/01/2024,14:30,Volkswagen Arena,WOB,KOE,1,1,Tie,1,0,Home Win,2,1,Home Win,2,0,Home Win,2,0,Home Win,2,2,Tie,1,2,Away Win,2,1,Home Win
19,27/01/2024,17:30,BayArena,B04,BMG,0,0,Tie,2,1,Home Win,4,1,Home Win,3,1,Home Win,3,1,Home Win,4,1,Home Win,3,1,Home Win,3,1,Home Win
19,28/01/2024,14:30,An der Alten Försterei,1. FC Union Berlin,D98,1,0,Home Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
19,28/01/2024,16:30,SIGNAL IDUNA PARK,BVB,BOC,3,1,Home Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,2,0,Home Win,3,0,Home Win,3,1,Home Win,3,1,Home Win
20,02/02/2024,19:30,Voith-Arena,HDH,BVB,0,0,Tie,1,3,Away Win,2,3,Away Win,1,2,Away Win,0,1,Away Win,1,2,Away Win,1,3,Away Win,1,3,Away Win
20,03/02/2024,14:30,Merck-Stadion am Böllenfalltor,D98,B04,0,2,Away Win,1,2,Away Win,0,3,Away Win,0,2,Away Win,0,3,Away Win,0,4,Away Win,0,3,Away Win,0,4,Away Win
20,03/02/2024,14:30,Vonovia Ruhrstadion,BOC,FCA,1,1,Tie,1,1,Tie,1,1,Tie,1,0,Home Win,2,1,Home Win,1,2,Away Win,1,2,Away Win,2,0,Home Win
20,03/02/2024,14:30,MEWA ARENA,M05,SVW,0,1,Away Win,0,1,Away Win,2,2,Tie,1,1,Tie,2,0,Home Win,0,1,Away Win,2,1,Home Win,1,1,Tie
20,03/02/2024,14:30,Europa-Park Stadion,SCF,VFB,1,3,Away Win,2,1,Home Win,1,2,Away Win,1,2,Away Win,2,2,Tie,1,1,Tie,2,2,Tie,1,2,Away Win
20,03/02/2024,14:30,Allianz Arena,FCB,BMG,3,1,Home Win,3,1,Home Win,4,1,Home Win,3,1,Home Win,2,0,Home Win,0,3,Away Win,4,1,Home Win,3,1,Home Win
20,03/02/2024,17:30,RheinEnergieSTADION,KOE,SGE,2,0,Home Win,2,1,Home Win,1,1,Tie,1,0,Home Win,1,2,Away Win,0,2,Away Win,2,1,Home Win,2,1,Home Win
20,04/02/2024,14:30,Volkswagen Arena,WOB,TSG,2,2,Tie,2,1,Home Win,2,2,Tie,1,1,Tie,2,3,Away Win,1,3,Away Win,2,1,Home Win,2,1,Home Win
20,04/02/2024,16:30,Red Bull Arena,RBL,1. FC Union Berlin,2,0,Home Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
21,09/02/2024,19:30,SIGNAL IDUNA PARK,BVB,SCF,3,0,Home Win,2,1,Home Win,0,0,Tie,2,1,Home Win,2,1,Home Win,2,0,Home Win,3,1,Home Win,3,1,Home Win
21,10/02/2024,14:30,WWK ARENA,FCA,RBL,2,2,Tie,1,2,Away Win,1,3,Away Win,1,2,Away Win,2,1,Home Win,1,2,Away Win,1,3,Away Win,1,2,Away Win
21,10/02/2024,14:30,wohninvest WESERSTADION,SVW,HDH,1,2,Away Win,2,1,Home Win,3,1,Home Win,2,1,Home Win,2,1,Home Win,1,3,Away Win,1,0,Home Win,2,2,Tie
21,10/02/2024,14:30,BORUSSIA-PARK,BMG,D98,0,0,Tie,2,1,Home Win,2,1,Home Win,2,0,Home Win,3,1,Home Win,1,0,Home Win,2,0,Home Win,3,0,Home Win
21,10/02/2024,14:30,Deutsche Bank Park,SGE,BOC,1,1,Tie,2,1,Home Win,2,0,Home Win,3,1,Home Win,2,0,Home Win,2,0,Home Win,3,1,Home Win,1,1,Tie
21,10/02/2024,14:30,An der Alten Försterei,1. FC Union Berlin,WOB,1,0,Home Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
21,10/02/2024,17:30,BayArena,B04,FCB,3,0,Home Win,1,2,Away Win,2,3,Away Win,2,2,Tie,2,1,Home Win,2,2,Tie,2,2,Tie,3,2,Home Win
21,11/02/2024,14:30,Mercedes-Benz Arena,VFB,M05,3,1,Home Win,2,0,Home Win,2,0,Home Win,3,0,Home Win,3,0,Home Win,3,0,Home Win,1,2,Away Win,4,0,Home Win
21,11/02/2024,16:30,PreZero Arena,TSG,KOE,1,1,Tie,1,1,Tie,2,1,Home Win,1,1,Tie,2,0,Home Win,1,1,Tie,1,2,Away Win,1,2,Away Win
22,16/02/2024,19:30,RheinEnergieSTADION,KOE,SVW,0,1,Away Win,2,1,Home Win,0,0,Tie,2,1,Home Win,2,1,Home Win,2,1,Home Win,3,1,Home Win,3,1,Home Win
22,17/02/2024,14:30,Merck-Stadion am Böllenfalltor,D98,VFB,1,2,Away Win,1,2,Away Win,0,3,Away Win,0,2,Away Win,1,3,Away Win,0,2,Away Win,1,2,Away Win,0,3,Away Win
22,17/02/2024,14:30,Voith-Arena,HDH,B04,1,2,Away Win,1,3,Away Win,1,4,Away Win,1,3,Away Win,0,3,Away Win,0,4,Away Win,1,3,Away Win,1,3,Away Win
22,17/02/2024,14:30,PreZero Arena,TSG,1. FC Union Berlin,0,1,Away Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win
22,17/02/2024,14:30,MEWA ARENA,M05,FCA,1,0,Home Win,1,1,Tie,1,1,Tie,2,1,Home Win,1,2,Away Win,1,1,Tie,1,0,Home Win,1,1,Tie
22,17/02/2024,14:30,Volkswagen Arena,WOB,BVB,1,1,Tie,1,2,Away Win,2,1,Home Win,1,2,Away Win,0,2,Away Win,1,3,Away Win,1,2,Away Win,1,2,Away Win
22,17/02/2024,17:30,Red Bull Arena,RBL,BMG,2,0,Home Win,2,1,Home Win,2,1,Home Win,2,0,Home Win,2,0,Home Win,2,0,Home Win,2,1,Home Win,2,2,Tie
22,18/02/2024,14:30,Europa-Park Stadion,SCF,SGE,3,3,Tie,1,1,Tie,2,2,Tie,1,0,Home Win,3,1,Home Win,1,1,Tie,2,0,Home Win,2,1,Home Win
22,18/02/2024,16:30,Vonovia Ruhrstadion,BOC,FCB,3,2,Home Win,0,3,Away Win,0,4,Away Win,1,3,Away Win,1,2,Away Win,0,3,Away Win,1,5,Away Win,2,2,Tie
23,23/02/2024,19:30,BayArena,B04,M05,2,1,Home Win,3,1,Home Win,3,0,Home Win,3,1,Home Win,4,1,Home Win,3,0,Home Win,3,1,Home Win,4,0,Home Win
23,24/02/2024,14:30,Mercedes-Benz Arena,VFB,KOE,1,1,Tie,2,0,Home Win,4,1,Home Win,3,0,Home Win,2,0,Home Win,1,1,Tie,1,2,Away Win,3,1,Home Win
23,24/02/2024,14:30,wohninvest WESERSTADION,SVW,D98,1,1,Tie,2,1,Home Win,1,0,Home Win,2,0,Home Win,2,0,Home Win,0,0,Tie,2,0,Home Win,2,1,Home Win
23,24/02/2024,14:30,BORUSSIA-PARK,BMG,BOC,5,2,Home Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,1,1,Tie,0,1,Away Win,2,1,Home Win,1,2,Away Win
23,24/02/2024,14:30,An der Alten Försterei,1. FC Union Berlin,HDH,2,2,Tie,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
23,24/02/2024,17:30,Allianz Arena,FCB,RBL,2,1,Home Win,3,1,Home Win,3,2,Home Win,2,1,Home Win,2,2,Tie,2,4,Away Win,3,1,Home Win,2,2,Tie
23,25/02/2024,14:30,Deutsche Bank Park,SGE,WOB,2,2,Tie,2,2,Tie,1,2,Away Win,2,0,Home Win,2,0,Home Win,1,2,Away Win,1,2,Away Win,1,1,Tie
23,25/02/2024,16:30,SIGNAL IDUNA PARK,BVB,TSG,2,3,Away Win,2,1,Home Win,2,1,Home Win,3,1,Home Win,2,1,Home Win,3,1,Home Win,3,1,Home Win,3,2,Home Win
23,25/02/2024,18:30,WWK ARENA,FCA,SCF,2,1,Home Win,1,2,Away Win,0,1,Away Win,1,2,Away Win,2,2,Tie,0,2,Away Win,1,1,Tie,2,1,Home Win
24,01/03/2024,19:30,Europa-Park Stadion,SCF,FCB,2,2,Tie,1,3,Away Win,0,3,Away Win,0,2,Away Win,2,2,Tie,2,2,Tie,1,3,Away Win,0,4,Away Win
24,02/03/2024,14:30,Merck-Stadion am Böllenfalltor,D98,FCA,0,6,Away Win,1,1,Tie,0,2,Away Win,2,1,Home Win,1,2,Away Win,1,1,Tie,1,2,Away Win,0,0,Tie
24,02/03/2024,14:30,Voith-Arena,HDH,SGE,1,2,Away Win,1,1,Tie,1,1,Tie,2,2,Tie,2,2,Tie,2,1,Home Win,1,3,Away Win,1,1,Tie
24,02/03/2024,14:30,Vonovia Ruhrstadion,BOC,RBL,1,4,Away Win,1,0,Home Win,1,3,Away Win,1,2,Away Win,1,1,Tie,0,2,Away Win,1,3,Away Win,2,2,Tie
24,02/03/2024,14:30,MEWA ARENA,M05,BMG,1,1,Tie,1,2,Away Win,2,1,Home Win,2,1,Home Win,1,2,Away Win,1,1,Tie,2,2,Tie,1,1,Tie
24,02/03/2024,14:30,An der Alten Försterei,1. FC Union Berlin,BVB,0,2,Away Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win
24,02/03/2024,17:30,Volkswagen Arena,WOB,VFB,2,3,Away Win,1,2,Away Win,0,0,Tie,1,1,Tie,1,2,Away Win,2,3,Away Win,2,1,Home Win,2,1,Home Win
24,03/03/2024,14:30,RheinEnergieSTADION,KOE,B04,0,2,Away Win,1,3,Away Win,1,3,Away Win,1,3,Away Win,1,3,Away Win,1,4,Away Win,2,2,Tie,1,3,Away Win
24,03/03/2024,16:30,PreZero Arena,TSG,SVW,2,1,Home Win,1,2,Away Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,2,0,Home Win,2,0,Home Win,2,1,Home Win
25,08/03/2024,19:30,Mercedes-Benz Arena,VFB,1. FC Union Berlin,2,0,Home Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
25,09/03/2024,14:30,WWK ARENA,FCA,HDH,1,0,Home Win,2,1,Home Win,2,1,Home Win,3,2,Home Win,2,1,Home Win,2,2,Tie,3,1,Home Win,1,1,Tie
25,09/03/2024,14:30,BORUSSIA-PARK,BMG,KOE,3,3,Tie,1,1,Tie,0,1,Away Win,1,2,Away Win,2,1,Home Win,1,1,Tie,1,2,Away Win,1,2,Away Win
25,09/03/2024,14:30,Red Bull Arena,RBL,D98,2,0,Home Win,2,1,Home Win,3,0,Home Win,3,0,Home Win,3,0,Home Win,2,0,Home Win,3,1,Home Win,5,0,Home Win
25,09/03/2024,14:30,Allianz Arena,FCB,M05,8,1,Home Win,3,1,Home Win,4,0,Home Win,2,0,Home Win,4,0,Home Win,4,0,Home Win,5,1,Home Win,4,0,Home Win
25,09/03/2024,17:30,wohninvest WESERSTADION,SVW,BVB,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,2,2,Tie
25,10/03/2024,14:30,Vonovia Ruhrstadion,BOC,SCF,1,2,Away Win,2,1,Home Win,1,1,Tie,2,2,Tie,1,2,Away Win,0,2,Away Win,1,2,Away Win,2,1,Home Win
25,10/03/2024,16:30,Deutsche Bank Park,SGE,TSG,3,1,Home Win,2,1,Home Win,0,0,Tie,2,1,Home Win,2,2,Tie,2,2,Tie,2,2,Tie,2,2,Tie
25,10/03/2024,18:30,BayArena,B04,WOB,2,0,Home Win,2,1,Home Win,2,1,Home Win,3,1,Home Win,3,1,Home Win,3,1,Home Win,3,1,Home Win,3,2,Home Win
26,15/03/2024,19:30,RheinEnergieSTADION,KOE,RBL,1,5,Away Win,2,1,Home Win,1,2,Away Win,1,1,Tie,1,2,Away Win,0,3,Away Win,1,0,Home Win,2,2,Tie
26,16/03/2024,14:30,Merck-Stadion am Böllenfalltor,D98,FCB,2,5,Away Win,0,4,Away Win,0,5,Away Win,1,5,Away Win,0,3,Away Win,0,4,Away Win,1,6,Away Win,0,6,Away Win
